year,terms_of_trade,output_gap_percentage,population,unemployment_total,gdp,gdp_potential,gdp_capita,structural_balance,gross_debt,gross_debt_percentage,total_revenue,total_expenditure,hcpi
1960,121.9547736,NA,2834.69,62.6,18.3713,NA,6.48088,NA,NA,NA,NA,NA,NA
1961,120.5244385,NA,2819.69,56.7,19.2928,NA,6.84218,NA,NA,NA,NA,NA,NA
1962,122.1517947,NA,2830.69,56,19.9134,NA,7.03481,NA,NA,NA,NA,NA,NA
1963,122.349134,NA,2850.7,58.7,20.8582,NA,7.31686,NA,NA,NA,NA,NA,NA
1964,126.4578883,NA,2864.7,57.8,21.6479,NA,7.55677,NA,NA,NA,NA,NA,NA
1965,125.5916059,-0.1573635,2876.7,55.3,22.0664,22.1012,7.67074,NA,NA,NA,NA,NA,NA
1966,127.6623282,-3.7862922,2884.71,56.3,22.2636,23.1398,7.71781,NA,NA,NA,NA,NA,NA
1967,128.7882355,-2.8565264,2900.71,60.7,23.5518,24.2444,8.11933,NA,NA,NA,NA,NA,NA
1968,126.8321839,0.3215418,2913.71,64.4,25.4934,25.4117,8.74945,NA,NA,NA,NA,NA,NA
1969,129.1182059,1.0665706,2926.72,61,26.9883,26.7035,9.22135,NA,NA,NA,NA,NA,NA
1970,120.3828809,-0.8217237,2950.72,69.6,27.7062,27.9357,9.38963,NA,NA,NA,NA,NA,NA
1971,122.5365293,-2.141517,2978.73,65.7,28.6675,29.2949,9.62408,NA,NA,NA,NA,NA,NA
1972,129.2573119,-0.6017888,3024.74,74.1,30.528,30.7128,10.09277,NA,NA,NA,NA,NA,NA
1973,135.8030691,-1.0958405,3073.75,69.2,31.9694,32.3236,10.40077,NA,NA,NA,NA,NA,NA
1974,115.7256493,-1.5381156,3124.77,65.3,33.3313,33.852,10.66682,NA,NA,NA,NA,NA,NA
1975,113.6470195,-0.3027662,3177.78,90.2,35.2168,35.3237,11.0822,NA,NA,NA,NA,NA,NA
1976,117.4778793,-3.2882027,3228.79,113,35.6922,36.9057,11.05435,NA,NA,NA,NA,NA,NA
1977,115.435743,0.0955671,3272.8,115.3,38.5908,38.5539,11.79137,NA,NA,NA,NA,NA,NA
1978,117.5334776,2.6126356,3314.81,107.3,41.3408,40.2882,12.47155,NA,NA,NA,NA,NA,NA
1979,113.2695332,1.1404699,3368.83,96.5,42.6028,42.1224,12.64616,NA,NA,NA,NA,NA,NA
1980,106.3531364,0.4639551,3401.83,98.3,43.9048,43.702,12.90623,NA,NA,NA,NA,NA,NA
1981,104.3542529,-0.0183524,3443.84,136.5,45.3561,45.3644,13.17021,NA,NA,NA,NA,NA,NA
1982,107.5476662,-1.2018177,3480.85,160.4,46.383,46.9472,13.32519,NA,NA,NA,NA,NA,NA
1983,111.5211419,-4.3710528,3505.86,179.8,46.2721,48.3871,13.19849,NA,NA,NA,NA,NA,NA
1984,110.1630704,-3.5364247,3529.86,200.3,48.2798,50.0498,13.67755,NA,NA,NA,NA,NA,NA
1985,110.7323723,-3.5212008,3540.87,216.7,49.7764,51.5931,14.05768,NA,NA,NA,NA,NA,NA
1986,115.4684654,-5.651996,3541.87,217.9,49.9206,52.9111,14.09442,NA,NA,NA,NA,NA,NA
1987,114.4818675,-3.8621586,3542.87,216.2,52.2485,54.3474,14.74749,NA,NA,NA,NA,NA,NA
1988,113.6824135,-2.5440678,3530.7,211.3,54.4775,55.8996,15.42966,NA,NA,NA,NA,NA,NA
1989,114.8877098,-0.1163901,3509.5,190.4,57.8615,57.9289,16.4871,NA,NA,NA,NA,NA,NA
1990,109.6652752,3.103905,3505.8,175.8,62.281,60.4061,17.76513,NA,NA,NA,NA,NA,NA
1991,106.8036762,0.9275144,3525.7,196.6,63.4828,62.8994,18.00573,NA,NA,NA,NA,NA,NA
1992,106.0040151,-0.3493958,3549.1,209.2,65.6052,65.8352,18.48502,NA,NA,NA,NA,NA,NA
1993,108.3127664,-2.5693395,3563.3,215.6,67.3717,69.1484,18.90711,NA,NA,NA,NA,NA,NA
1994,105.981332,-2.8374236,3570.7,203.4,71.2495,73.3302,19.95393,NA,NA,NA,NA,NA,65.8286013
1995,104.0575381,-0.5924771,3601.26,177.5,78.2362,78.7025,21.72466,NA,41.3,78.5594,21.20989,22.3844,67.6718021
1996,104.1261122,0.2120992,3626.08,173.8,85.3493,85.1686,23.53761,NA,44.4,69.8661,23.32588,23.48,69.1333333
1997,104.451164,1.7001284,3660.59,152.2,94.5227,92.9426,25.82171,NA,43.6,61.6074,26.24556,25.3258,70
1998,105.5219908,0.9017784,3714.17,122.9,102.2999,101.3857,27.54315,NA,41.4,51.4641,29.41774,27.7899,71.5
1999,105.5294474,2.6358807,3754.75,95.9,113.4128,110.5001,30.20514,NA,43.2,46.6072,33.70695,31.4674,73.25
2000,105.4105228,4.0127688,3804.25,74.2,124.6535,119.8445,32.76692,NA,39.1,36.0705,38.73913,33.4644,77.1166667
2001,106.7492929,2.462991,3863.81,71.5,132.1975,129.0197,34.21428,NA,40.5,33.2328,40.8089,39.6262,80.1916667
2002,109.0054279,1.3519068,3931.84,82.6,139.5701,137.7084,35.49739,NA,41.5,30.5541,44.49119,44.9268,83.9583333
2003,107.8715521,-0.5389573,3996.98,86.5,144.6966,145.4807,36.20149,NA,43.6,29.9236,48.63049,48.0139,87.3333333
2004,102.0776384,0.9692509,4067.33,87.7,154.4273,152.9449,37.96774,NA,44.1,28.2149,53.85183,51.7706,89.3416667
2005,103.8195092,2.0411426,4159.99,89.7,163.3318,160.0647,39.26255,NA,44.4,26.0724,59.47752,56.7418,91.2916667
2006,102.8346753,3.80091,4269.83,97,172.9131,166.5814,40.49647,NA,43.7,23.6097,67.80808,62.6098,93.7416667
2007,103.322391,4.6485449,4400.18,105,179.4779,171.5054,40.78877,NA,47.1,23.8973,71.26574,70.7275,96.4416667
2008,104.4036161,-0.7001657,4496.04,146,171.6285,172.8387,38.17326,NA,79.6,42.4135,65.40028,78.4991,99.45
2009,102.9097191,-4.5311228,4539.15,268,163.7935,171.5674,36.08461,NA,104.7,61.6763,56.51001,79.9516,97.7666667
2010,100,-2.1252187,4559.77,303,167.1243,170.7532,36.65191,-9.8194,144.2,86.2993,55.40672,109.084,96.1916667
2011,102.1979035,-2.1904386,4577.16,317,167.0565,170.7977,36.49785,-7.5697,189.7,109.613,57.71559,79.5575,97.3583333
2012,102.5961173,-4.0438533,4590.17,316,165.2141,172.1766,35.99301,-5.8399,210,119.4772,59.49265,73.5058,99.2083333
2013,102.6182895,-4.712405,4601.83,282,167.0295,175.2899,36.29632,-3.5722,215.3,119.4712,61.52189,71.7152,99.7333333
2014,101.0108042,-0.0608144,4614.84,243,181.1641,181.2744,39.25686,-3.6004,203.3,105.2492,65.80309,72.9996,100.0333333
2015,103.5811665,1.3527215,4642.24,204,228.7669,225.7137,49.27943,-1.7593,201.1,78.6247,70.53369,75.3197,100
2016,103.0377705,1.6815648,4684.02,182,238.1199,234.1819,50.83664,-1.695,199.8,75.3603,72.10946,74.5288,99.7615384
2017,102.8427075,1.0458135,4730.86,173.4,246.6956,244.1423,52.14603,-1.0266,204.4,73.5757,75.35514,76.782,100.9872071
2018,102.9489736,0.4141827,4773.438,171.8,255.3923,254.3388,53.50279,-0.6014,210.1,71.9385,77.81315,79.0382,102.3642487
