country,membership_year
Canada,1961
United States of America,1961
United Kingdom,1961
Denmark,1961
Iceland,1961
Norway,1961
Turkey,1961
Spain,1961
Portugal,1961
France,1961
Ireland,1961
Belgium,1961
Germany,1961
Greece,1961
Sweden,1961
Switzerland,1961
Austria,1961
Netherlands,1961
Luxembourg,1961
Italy,1961
Japan,1964
Finland,1969
Australia,1971
New Zealand,1973
Mexico,1994
Czech Republic,1995
Hungary,1996
Poland,1996
South Korea,1996
Slovakia,2000
Chile,2010
Slovenia,2010
Israel,2010
Estonia,2010
