Year,Imports,Exports
1985,3861.7,3855.7
1986,4771,3106.3
1987,6293.6,3497.3
1988,8510.9,5021.6
1989,11989.7,5755.4
1990,15237.4,4806.4
1991,18969.2,6278.2
1992,25727.5,7418.5
1993,31539.9,8762.9
1994,38786.8,9281.7
1995,45543.2,11753.7
1996,51512.8,11992.6
1997,62557.7,12862.2
1998,71168.6,14241.2
1999,81788.2,13111.1
2000,100018.2,16185.2
2001,102278.4,19182.3
2002,125192.6,22127.7
2003,152436.096898,28367.942859
2004,196682.033935,34427.772456
2005,243470.104795,41192.010123
2006,287774.352612,53673.008343
2007,321442.866934,62936.891576
2008,337772.627823,69732.837543
2009,296373.883488,69496.678611
2010,364952.633595,91911.080944
2011,399371.232631,104121.523635
2012,425619.082637,110516.615672
2013,440430.019592,121746.188637
2014,468474.894856,123657.203406
2015,483188.696087,115931.978123
2016,462618.106992,115602.07442
2017,187617.935878,49528.594291
