date,cotton
1980M1,88.72
1980M2,97.21
1980M3,93.53
1980M4,90.56
1980M5,88.40
1980M6,84.14
1980M7,88.87
1980M8,96.37
1980M9,101.12
1980M10,98.69
1980M11,98.03
1980M12,99.16
1981M1,99.51
1981M2,95.85
1981M3,91.72
1981M4,88.65
1981M5,87.51
1981M6,86.36
1981M7,85.27
1981M8,80.72
1981M9,77.24
1981M10,75.00
1981M11,72.01
1981M12,67.75
1982M1,69.97
1982M2,69.98
1982M3,70.44
1982M4,71.15
1982M5,76.69
1982M6,75.64
1982M7,78.47
1982M8,76.40
1982M9,72.82
1982M10,70.21
1982M11,69.04
1982M12,69.26
1983M1,71.88
1983M2,74.32
1983M3,79.11
1983M4,80.22
1983M5,81.96
1983M6,86.01
1983M7,88.44
1983M8,90.80
1983M9,89.85
1983M10,88.11
1983M11,89.12
1983M12,89.36
1984M1,87.80
1984M2,87.44
1984M3,88.43
1984M4,88.99
1984M5,88.88
1984M6,83.73
1984M7,78.99
1984M8,75.52
1984M9,73.16
1984M10,73.62
1984M11,72.67
1984M12,71.99
1985M1,71.40
1985M2,68.67
1985M3,67.21
1985M4,66.26
1985M5,65.07
1985M6,63.00
1985M7,61.10
1985M8,57.00
1985M9,54.20
1985M10,48.84
1985M11,48.12
1985M12,48.19
1986M1,51.82
1986M2,54.51
1986M3,52.24
1986M4,48.50
1986M5,45.42
1986M6,41.03
1986M7,37.44
1986M8,37.03
1986M9,43.50
1986M10,51.23
1986M11,52.81
1986M12,59.71
1987M1,65.68
1987M2,65.85
1987M3,63.09
1987M4,65.85
1987M5,76.90
1987M6,79.30
1987M7,83.24
1987M8,86.60
1987M9,83.61
1987M10,76.19
1987M11,75.83
1987M12,75.08
1988M1,72.19
1988M2,67.49
1988M3,66.34
1988M4,65.75
1988M5,65.58
1988M6,68.78
1988M7,63.43
1988M8,58.41
1988M9,56.74
1988M10,57.64
1988M11,58.61
1988M12,61.26
1989M1,63.13
1989M2,62.96
1989M3,66.02
1989M4,73.75
1989M5,77.34
1989M6,78.86
1989M7,83.01
1989M8,82.97
1989M9,81.45
1989M10,82.10
1989M11,82.13
1989M12,77.62
1990M1,75.20
1990M2,75.96
1990M3,78.90
1990M4,82.87
1990M5,85.60
1990M6,90.18
1990M7,91.79
1990M8,81.28
1990M9,81.28
1990M10,81.36
1990M11,82.43
1990M12,83.86
1991M1,83.71
1991M2,84.88
1991M3,84.23
1991M4,83.43
1991M5,84.17
1991M6,83.84
1991M7,81.02
1991M8,73.47
1991M9,70.33
1991M10,67.94
1991M11,64.10
1991M12,61.76
1992M1,59.62
1992M2,56.30
1992M3,55.33
1992M4,57.99
1992M5,60.59
1992M6,63.89
1992M7,65.29
1992M8,59.75
1992M9,56.65
1992M10,53.12
1992M11,52.69
1992M12,54.00
1993M1,57.29
1993M2,60.55
1993M3,61.45
1993M4,61.07
1993M5,60.17
1993M6,58.48
1993M7,57.99
1993M8,55.50
1993M9,55.16
1993M10,54.91
1993M11,54.91
1993M12,58.74
1994M1,67.94
1994M2,79.97
1994M3,81.77
1994M4,83.25
1994M5,86.04
1994M6,86.20
1994M7,82.02
1994M8,76.94
1994M9,75.29
1994M10,73.88
1994M11,76.91
1994M12,86.38
1995M1,94.78
1995M2,99.96
1995M3,110.47
1995M4,113.22
1995M5,115.85
1995M6,104.36
1995M7,95.98
1995M8,84.65
1995M9,91.10
1995M10,91.53
1995M11,89.29
1995M12,88.43
1996M1,85.91
1996M2,86.79
1996M3,83.23
1996M4,83.00
1996M5,82.89
1996M6,83.13
1996M7,79.84
1996M8,76.71
1996M9,75.36
1996M10,75.43
1996M11,75.91
1996M12,78.29
1997M1,79.77
1997M2,80.40
1997M3,80.63
1997M4,78.82
1997M5,79.26
1997M6,80.51
1997M7,81.18
1997M8,81.21
1997M9,79.64
1997M10,77.75
1997M11,77.22
1997M12,74.35
1998M1,72.14
1998M2,68.84
1998M3,68.43
1998M4,65.70
1998M5,64.36
1998M6,68.94
1998M7,69.86
1998M8,68.18
1998M9,66.39
1998M10,61.46
1998M11,56.08
1998M12,56.00
1999M1,55.78
1999M2,56.19
1999M3,56.71
1999M4,57.74
1999M5,59.90
1999M6,58.50
1999M7,54.41
1999M8,50.98
1999M9,49.48
1999M10,47.43
1999M11,46.21
1999M12,44.20
2000M1,47.43
2000M2,53.44
2000M3,57.30
2000M4,58.77
2000M5,60.50
2000M6,59.47
2000M7,58.39
2000M8,60.89
2000M9,61.64
2000M10,60.89
2000M11,63.98
2000M12,65.86
2001M1,64.18
2001M2,60.44
2001M3,54.56
2001M4,51.16
2001M5,49.97
2001M6,47.46
2001M7,45.55
2001M8,43.33
2001M9,41.26
2001M10,37.22
2001M11,37.96
2001M12,42.87
2002M1,43.42
2002M2,42.81
2002M3,42.04
2002M4,41.38
2002M5,39.89
2002M6,43.48
2002M7,46.70
2002M8,49.32
2002M9,48.98
2002M10,49.56
2002M11,52.33
2002M12,55.22
2003M1,56.71
2003M2,58.55
2003M3,61.01
2003M4,60.78
2003M5,57.80
2003M6,58.50
2003M7,60.19
2003M8,60.50
2003M9,64.18
2003M10,72.56
2003M11,76.94
2003M12,73.59
2004M1,76.24
2004M2,73.92
2004M3,72.28
2004M4,69.44
2004M5,70.04
2004M6,64.63
2004M7,57.02
2004M8,53.47
2004M9,56.68
2004M10,52.52
2004M11,49.24
2004M12,48.60
2005M1,51.26
2005M2,52.17
2005M3,56.24
2005M4,56.95
2005M5,55.84
2005M6,53.99
2005M7,54.97
2005M8,54.07
2005M9,54.95
2005M10,58.24
2005M11,56.83
2005M12,56.53
2006M1,59.01
2006M2,60.75
2006M3,58.62
2006M4,57.18
2006M5,55.41
2006M6,56.42
2006M7,56.73
2006M8,59.85
2006M9,58.82
2006M10,57.03
2006M11,57.40
2006M12,59.43
2007M1,59.05
2007M2,57.89
2007M3,58.41
2007M4,57.18
2007M5,55.57
2007M6,60.44
2007M7,67.81
2007M8,66.62
2007M9,68.21
2007M10,68.93
2007M11,69.71
2007M12,69.59
2008M1,73.25
2008M2,75.05
2008M3,80.18
2008M4,75.41
2008M5,74.12
2008M6,77.04
2008M7,77.29
2008M8,78.04
2008M9,73.59
2008M10,62.30
2008M11,55.06
2008M12,55.47
2009M1,57.70
2009M2,55.21
2009M3,51.50
2009M4,56.78
2009M5,61.95
2009M6,61.39
2009M7,64.80
2009M8,64.26
2009M9,64.07
2009M10,66.82
2009M11,71.78
2009M12,76.78
2010M1,77.40
2010M2,80.04
2010M3,85.79
2010M4,88.09
2010M5,90.07
2010M6,91.68
2010M7,84.15
2010M8,90.35
2010M9,104.73
2010M10,126.55
2010M11,155.47
2010M12,168.22
2011M1,178.93
2011M2,213.18
2011M3,229.67
2011M4,216.62
2011M5,165.52
2011M6,160.65
2011M7,149.25
2011M8,114.10
2011M9,116.65
2011M10,110.61
2011M11,104.68
2011M12,95.45
2012M1,101.11
2012M2,100.75
2012M3,99.50
2012M4,100.10
2012M5,88.53
2012M6,82.18
2012M7,83.97
2012M8,84.40
2012M9,84.15
2012M10,81.95
2012M11,80.87
2012M12,83.37
2013M1,85.51
2013M2,89.71
2013M3,94.45
2013M4,92.54
2013M5,92.62
2013M6,93.08
2013M7,92.62
2013M8,92.71
2013M9,90.09
2013M10,89.35
2013M11,84.65
2013M12,87.49
2014M1,90.96
2014M2,94.05
2014M3,96.95
2014M4,94.20
2014M5,92.71
2014M6,90.90
2014M7,83.84
2014M8,74.00
2014M9,73.38
2014M10,70.34
2014M11,67.53
2014M12,68.30
2015M1,67.35
2015M2,69.84
2015M3,69.35
2015M4,71.70
2015M5,72.86
2015M6,72.35
2015M7,72.35
2015M8,71.82
2015M9,68.74
2015M10,69.03
2015M11,69.22
2015M12,70.39
2016M1,68.75
2016M2,66.57
2016M3,65.46
2016M4,69.28
2016M5,70.28
2016M6,74.10
2016M7,81.06
2016M8,80.26
2016M9,77.86
2016M10,78.52
2016M11,78.92
2016M12,79.50
2017M1,82.33
2017M2,85.16
2017M3,86.78
2017M4,87.04
2017M5,88.64
2017M6,84.76
