"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2015",18.8678344564871,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2015",53.0602062913119,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2015",82.9488088883039,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","2015",31.5797105316553,
"CZE","TRADEGOODSERV","EXP","PC_GDP","A","2015",82.9552442961699,
"DNK","TRADEGOODSERV","EXP","PC_GDP","A","2015",55.2270134093276,
"FIN","TRADEGOODSERV","EXP","PC_GDP","A","2015",36.4684775814601,
"FRA","TRADEGOODSERV","EXP","PC_GDP","A","2015",29.6725567769841,
"DEU","TRADEGOODSERV","EXP","PC_GDP","A","2015",46.781180551434,
"GRC","TRADEGOODSERV","EXP","PC_GDP","A","2015",31.9150025739762,
"HUN","TRADEGOODSERV","EXP","PC_GDP","A","2015",90.7267040583415,
"ISL","TRADEGOODSERV","EXP","PC_GDP","A","2015",53.6901005651994,
"IRL","TRADEGOODSERV","EXP","PC_GDP","A","2015",123.994642166936,
"ITA","TRADEGOODSERV","EXP","PC_GDP","A","2015",30.0183815956554,
"JPN","TRADEGOODSERV","EXP","PC_GDP","A","2015",17.6358772070693,
"KOR","TRADEGOODSERV","EXP","PC_GDP","A","2015",45.9011392079875,
"LUX","TRADEGOODSERV","EXP","PC_GDP","A","2015",227.113480053523,
"MEX","TRADEGOODSERV","EXP","PC_GDP","A","2015",35.2272176414767,
"NLD","TRADEGOODSERV","EXP","PC_GDP","A","2015",83.4255849307272,
"NZL","TRADEGOODSERV","EXP","PC_GDP","A","2015",27.8620086989335,
"NOR","TRADEGOODSERV","EXP","PC_GDP","A","2015",37.3859197615474,
"POL","TRADEGOODSERV","EXP","PC_GDP","A","2015",49.522847785359,
"PRT","TRADEGOODSERV","EXP","PC_GDP","A","2015",40.5607743215913,"E"
"SVK","TRADEGOODSERV","EXP","PC_GDP","A","2015",93.4881916398231,
"ESP","TRADEGOODSERV","EXP","PC_GDP","A","2015",33.1777668901927,
"SWE","TRADEGOODSERV","EXP","PC_GDP","A","2015",45.5901229890773,
"CHE","TRADEGOODSERV","EXP","PC_GDP","A","2015",62.9030203312041,
"TUR","TRADEGOODSERV","EXP","PC_GDP","A","2015",23.3311265845558,
"GBR","TRADEGOODSERV","EXP","PC_GDP","A","2015",27.6308074804802,
"USA","TRADEGOODSERV","EXP","PC_GDP","A","2015",12.5539568106003,
"CHL","TRADEGOODSERV","EXP","PC_GDP","A","2015",29.6781728466229,
"CHN","TRADEGOODSERV","EXP","PC_GDP","A","2015",22.086896776577,
"EST","TRADEGOODSERV","EXP","PC_GDP","A","2015",79.2856910248626,
"IDN","TRADEGOODSERV","EXP","PC_GDP","A","2015",21.0919757848809,
"ISR","TRADEGOODSERV","EXP","PC_GDP","A","2015",30.7247415784705,
"RUS","TRADEGOODSERV","EXP","PC_GDP","A","2015",28.6672037461698,
"SVN","TRADEGOODSERV","EXP","PC_GDP","A","2015",77.9358446025457,
"OECD","TRADEGOODSERV","EXP","PC_GDP","A","2015",28.7768336354,"E"
"EA","TRADEGOODSERV","EXP","PC_GDP","A","2015",46.1393004566508,
"EU","TRADEGOODSERV","EXP","PC_GDP","A","2015",43.8765605310027,
"LVA","TRADEGOODSERV","EXP","PC_GDP","A","2015",58.931781325953,
